,tract,census tract,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length,Total Woman 15-50,Women with births 12 Months,Total Population,Birth Rate,Fertility Rate,Low Birth Weight,Low Birth Weight Pctl,Average income,Grocery Store Access,Grocery Store Access Percent
0,6037209106,06037209106,District 1,Los Angeles - Westlake,SPA 4 - Metro,2609,2381529.056,6257.329915,756,58,2632,0.02203647416,0.07671957672,0,0,37067,0,0
0,6037209201,06037209201,District 1,Los Angeles - Westlake,SPA 4 - Metro,2610,1818530.864,5562.088306,1144,0,2852,0,0,0,0,83313,0,0
0,6037209202,06037209202,District 1,Los Angeles - Westlake,SPA 4 - Metro,2611,2667667.431,6511.253069,459,26,1234,0.02106969206,0.05664488017,0,0,36188,0,0
0,6037209300,06037209300,District 1,Los Angeles - Westlake,SPA 4 - Metro,2612,3296967.586,7931.18045,1357,102,4712,0.02164685908,0.07516580693,7.94,96.18,30540,0,0
0,6037209401,06037209401,District 1,Los Angeles - Westlake,SPA 4 - Metro,2613,2323375.792,6370.637612,890,1,4163,0.000240211386,0.001123595506,6.65,85.77,30970,0,0
0,6037209402,06037209402,District 1,Los Angeles - Westlake,SPA 4 - Metro,2614,1466622.382,4849.886726,876,123,4056,0.03032544379,0.1404109589,6.99,89.8,37388,0,0
0,6037209403,06037209403,District 1,Los Angeles - Westlake,SPA 4 - Metro,2615,1487585.052,4882.443192,990,0,3850,0,0,5.83,71.64,22259,0,0
0,6037209510,06037209510,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2616,1963614.684,5807.605825,638,3,2813,0.001066477071,0.004702194357,6.56,84.31,32361,0,0
0,6037209520,06037209520,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2617,2499111.244,6466.563304,707,40,2648,0.01510574018,0.05657708628,7.6,94.56,35395,0,0
0,6037209810,06037209810,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2618,1660660.461,5390.00072,528,63,2385,0.02641509434,0.1193181818,4.76,45.87,32321,0,0
0,6037209820,06037209820,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2619,1936268.193,5687.974114,653,22,2732,0.008052708638,0.0336906585,7.67,94.97,36500,0,0
0,6037210010,06037210010,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2620,4448567.779,8896.547478,813,10,3190,0.003134796238,0.012300123,4.19,31.08,30703,0,0
0,6037211000,06037211000,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,2621,28608477.82,25105.85213,1301,29,5268,0.005504935459,0.02229054573,3.32,13.24,135612,0,0
0,6037211121,06037211121,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2622,2315992.818,7544.02039,971,15,2431,0.006170300288,0.01544799176,3.2,11.37,65912,0,0
0,6037211122,06037211122,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2623,3930365.132,8273.446548,871,9,2877,0.003128258603,0.01033295063,6.7,86.54,51484,0,0
0,6037211123,06037211123,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2624,1850526.14,6797.212181,637,0,2097,0,0,0,0,64348,0,0
0,6037211124,06037211124,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2625,4228641.481,8167.548078,1141,36,4070,0.008845208845,0.03155127082,0,0,53055,0,0
0,6037211201,06037211201,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2626,1501881.869,4915.684313,580,12,2538,0.004728132388,0.02068965517,5.56,65.83,52223,0,0
0,6037211202,06037211202,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2627,1927075.493,5559.421455,660,10,2693,0.003713330858,0.01515151515,6.07,76.64,42389,0,0
0,6037211310,06037211310,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2628,1549860.715,4995.205104,795,23,3603,0.006383569248,0.02893081761,6.0,75.12,44545,0,0
0,6037211320,06037211320,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2629,2004122.247,5671.305411,939,0,2899,0,0,10.16,99.6,33247,0,0
0,6037211410,06037211410,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2630,2915308.277,7500.754606,615,12,2956,0.004059539919,0.01951219512,6.84,88.23,51921,0,0
0,6037211420,06037211420,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2631,4101420.132,8393.562243,909,166,3479,0.04771486059,0.1826182618,5.4,62.11,48333,0,0
0,6037211500,06037211500,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,2632,9760679.48,13076.57339,879,27,4230,0.006382978723,0.03071672355,4.53,39.52,61538,0,0
0,6037211701,06037211701,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,2633,7007753.876,10536.05785,603,23,2733,0.008415660446,0.03814262023,4.43,36.66,66563,0,0
0,6037211703,06037211703,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2634,1986718.893,5648.97182,1326,101,4716,0.02141645462,0.07616892911,7.23,91.87,51299,0,0
0,6037211704,06037211704,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2635,1990668.861,5698.519763,642,18,2941,0.006120367222,0.02803738318,3.55,17.21,39875,0,0
0,6037211802,06037211802,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2636,3502571.777,7938.570623,1397,41,4893,0.008379317392,0.02934860415,5.79,70.81,45120,0,0
0,6037211803,06037211803,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2637,1501763.785,4915.856574,1087,22,3602,0.006107717934,0.02023919043,3.08,10.06,54922,0,0
0,6037211804,06037211804,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2638,2001589.043,5672.182614,859,6,3247,0.001847859563,0.006984866123,5.28,59.31,41843,0,0
0,6037211910,06037211910,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2639,1484978.667,4890.398949,1043,25,4223,0.005919962112,0.02396931927,4.46,37.58,54675,0,0
0,6037211921,06037211921,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2640,997424.3301,4152.132568,529,58,2447,0.02370249285,0.1096408318,5.98,74.7,37375,0,0
0,6037211922,06037211922,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2641,999743.7441,4155.338167,1227,39,3182,0.01225644249,0.03178484108,6.21,79.19,48036,0,0
0,6037212101,06037212101,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2642,1999890.327,5670.097463,836,0,3146,0,0,3.33,13.5,50640,0,0
0,6037212102,06037212102,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2643,1492508.618,4902.631746,719,45,2579,0.0174486235,0.06258692629,6.63,85.46,31864,0,0
0,6037212202,06037212202,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2644,2225899.926,6481.887987,795,27,3364,0.008026159334,0.03396226415,5.14,56.12,36920,0,0
0,6037212203,06037212203,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2645,1141073.354,4500.610378,771,0,3216,0,0,8.53,98.09,32750,0,0
0,6037212204,06037212204,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2646,2300387.561,6142.686441,1134,0,3227,0,0,7.96,96.24,33259,0,0
0,6037212303,06037212303,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2647,1675272.862,5219.253902,1169,47,3486,0.01348250143,0.04020530368,3.31,13.14,41328,0,0
0,6037212304,06037212304,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2648,2218468.734,6304.991861,477,16,1738,0.00920598389,0.03354297694,6.43,82.61,31197,0,0
0,6037212305,06037212305,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2649,1168773.146,4355.764526,732,42,2533,0.0165811291,0.05737704918,4.32,34.18,32557,0,0
0,6037212306,06037212306,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2757,1742806.878,5316.960787,636,39,2793,0.01396348013,0.06132075472,4.98,51.82,37466,0,0
0,6037212410,06037212410,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2758,1687088.938,5550.262489,1080,22,3560,0.006179775281,0.02037037037,2.24,3.03,45114,0,0
0,6037212420,06037212420,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2759,1538332.868,4954.122473,830,67,2875,0.02330434783,0.08072289157,4.33,34.39,45465,0,0
0,6037212501,06037212501,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2760,856375.3359,3804.123564,636,0,1944,0,0,3.45,15.36,44797,0,0
0,6037212502,06037212502,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2761,3069436.973,8256.676374,1024,30,3363,0.008920606601,0.029296875,3.01,9.33,53900,0,0
0,6037212610,06037212610,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2762,3837077.169,8373.506661,1286,49,4049,0.01210175352,0.03810264386,3.32,13.24,51920,0,0
0,6037212620,06037212620,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2763,3112104.208,7947.75922,955,58,4111,0.01410848942,0.06073298429,4.24,32.27,45464,0,0
0,6037212701,06037212701,District 2,Los Angeles - Country Club Park,SPA 4 - Metro,2764,5137695.229,10446.12242,451,5,2487,0.002010454363,0.0110864745,10.09,99.58,59196,0,0
0,6037212702,06037212702,District 2,Los Angeles - Country Club Park,SPA 4 - Metro,2765,9432433.528,13436.74067,648,12,3687,0.0032546786,0.01851851852,5.19,57.39,86750,0,0
0,6037212800,06037212800,District 2,Los Angeles - Country Club Park,SPA 4 - Metro,2766,8454048.389,11698.38976,768,37,4121,0.0089784033,0.04817708333,5.42,62.61,50053,0,0
0,6037212900,06037212900,District 2,Los Angeles - Country Club Park,SPA 4 - Metro,2767,3940299.25,8740.439585,992,39,3721,0.01048105348,0.03931451613,2.98,8.93,43788,0,0
0,6037213100,06037213100,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2768,5781514.454,10486.30028,636,0,2507,0,0,5.77,70.36,42250,0,0
0,6037213201,06037213201,District 2,Los Angeles - Koreatown,SPA 4 - Metro,2769,3589230.659,8182.676888,1214,30,4330,0.006928406467,0.02471169687,4.85,48.27,35829,0,0
